Expected_Min_Entropy,Bound_Type,Model,Value
0.3,Lower Bound,Char Rev Model,0.3000232447
0.3,Mean,Char Rev Model,0.30020225
0.3,Higher Bound,Char Rev Model,0.3003812553
0.4,Lower Bound,Char Rev Model,0.3996764389
0.4,Mean,Char Rev Model,0.39974071
0.4,Higher Bound,Char Rev Model,0.3998049811
0.5,Lower Bound,Char Rev Model,0.5000526119
0.5,Mean,Char Rev Model,0.50011835
0.5,Higher Bound,Char Rev Model,0.5001840881
0.6,Lower Bound,Char Rev Model,0.5982624641
0.6,Mean,Char Rev Model,0.59914427
0.6,Higher Bound,Char Rev Model,0.6000260759
0.7,Lower Bound,Char Rev Model,0.6989339577
0.7,Mean,Char Rev Model,0.69918908
0.7,Higher Bound,Char Rev Model,0.6994442023
0.8,Lower Bound,Char Rev Model,0.799342802
0.8,Mean,Char Rev Model,0.80092121
0.8,Higher Bound,Char Rev Model,0.802499618
0.9,Lower Bound,Char Rev Model,0.9157910023
0.9,Mean,Char Rev Model,0.91658577
0.9,Higher Bound,Char Rev Model,0.9173805377
1.0,Lower Bound,Char Rev Model,0.9982431655
1.0,Mean,Char Rev Model,0.99854489
1.0,Higher Bound,Char Rev Model,0.9988466145
0.1,Lower Bound,BiasAware Char Model,0.09968328109
0.1,Mean,BiasAware Char Model,0.09970987
0.1,Higher Bound,BiasAware Char Model,0.09973645891
0.2,Lower Bound,BiasAware Char Model,0.1979517223
0.2,Mean,BiasAware Char Model,0.19890514
0.2,Higher Bound,BiasAware Char Model,0.1998585577
0.3,Lower Bound,BiasAware Char Model,0.2998988719
0.3,Mean,BiasAware Char Model,0.30007546
0.3,Higher Bound,BiasAware Char Model,0.3002520481
0.4,Lower Bound,BiasAware Char Model,0.3993687282
0.4,Mean,BiasAware Char Model,0.39943083
0.4,Higher Bound,BiasAware Char Model,0.3994929318
0.5,Lower Bound,BiasAware Char Model,0.4996374746
0.5,Mean,BiasAware Char Model,0.49970221
0.5,Higher Bound,BiasAware Char Model,0.4997669454
0.6,Lower Bound,BiasAware Char Model,0.5978273646
0.6,Mean,BiasAware Char Model,0.5986975
0.6,Higher Bound,BiasAware Char Model,0.5995676354
0.7,Lower Bound,BiasAware Char Model,0.6985571413
0.7,Mean,BiasAware Char Model,0.69880473
0.7,Higher Bound,BiasAware Char Model,0.6990523187
0.8,Lower Bound,BiasAware Char Model,0.7990285628
0.8,Mean,BiasAware Char Model,0.80059937
0.8,Higher Bound,BiasAware Char Model,0.8021701772
0.9,Lower Bound,BiasAware Char Model,0.9167176518
0.9,Mean,BiasAware Char Model,0.91683835
0.9,Higher Bound,BiasAware Char Model,0.9169590482
1.0,Lower Bound,BiasAware Char Model,0.9982517312
1.0,Mean,BiasAware Char Model,0.99855449
1.0,Higher Bound,BiasAware Char Model,0.9988572488
0.1,Lower Bound,CharComplement Model,0.09969972622
0.1,Mean,CharComplement Model,0.09972634
0.1,Higher Bound,CharComplement Model,0.09975295378
0.2,Lower Bound,CharComplement Model,0.1979903847
0.2,Mean,CharComplement Model,0.19894484
0.2,Higher Bound,CharComplement Model,0.1998992953
0.3,Lower Bound,CharComplement Model,0.3000529825
0.3,Mean,CharComplement Model,0.30023263
0.3,Higher Bound,CharComplement Model,0.3004122775
0.4,Lower Bound,CharComplement Model,0.3997017319
0.4,Mean,CharComplement Model,0.39976609
0.4,Higher Bound,CharComplement Model,0.3998304481
0.5,Lower Bound,CharComplement Model,0.5000711158
0.5,Mean,CharComplement Model,0.50013637
0.5,Higher Bound,CharComplement Model,0.5002016242
0.6,Lower Bound,CharComplement Model,0.5982694212
0.6,Mean,CharComplement Model,0.59915141
0.6,Higher Bound,CharComplement Model,0.6000333988
0.7,Lower Bound,CharComplement Model,0.6989234959
0.7,Mean,CharComplement Model,0.69917849
0.7,Higher Bound,CharComplement Model,0.6994334841
0.8,Lower Bound,CharComplement Model,0.7993169062
0.8,Mean,CharComplement Model,0.80089474
0.8,Higher Bound,CharComplement Model,0.8024725738
0.9,Lower Bound,CharComplement Model,0.9158167975
0.9,Mean,CharComplement Model,0.91661239
0.9,Higher Bound,CharComplement Model,0.9174079825
1.0,Lower Bound,CharComplement Model,0.9982754478
1.0,Mean,CharComplement Model,0.99857631
1.0,Higher Bound,CharComplement Model,0.9988771722
0.1,Lower Bound,MatchChar Model,0.1000126316
0.1,Mean,MatchChar Model,0.1000393
0.1,Higher Bound,MatchChar Model,0.1000659684
0.2,Lower Bound,MatchChar Model,0.1982036373
0.2,Mean,MatchChar Model,0.19916382
0.2,Higher Bound,MatchChar Model,0.2001240027
0.3,Lower Bound,MatchChar Model,0.3001831286
0.3,Mean,MatchChar Model,0.30036553
0.3,Higher Bound,MatchChar Model,0.3005479314
0.4,Lower Bound,MatchChar Model,0.3994944315
0.4,Mean,MatchChar Model,0.39955708
0.4,Higher Bound,MatchChar Model,0.3996197285
0.5,Lower Bound,MatchChar Model,0.4996462097
0.5,Mean,MatchChar Model,0.49971106
0.5,Higher Bound,MatchChar Model,0.4997759103
0.6,Lower Bound,MatchChar Model,0.597834607
0.6,Mean,MatchChar Model,0.59870498
0.6,Higher Bound,MatchChar Model,0.599575353
0.7,Lower Bound,MatchChar Model,0.6986146166
0.7,Mean,MatchChar Model,0.69886334
0.7,Higher Bound,MatchChar Model,0.6991120634
0.8,Lower Bound,MatchChar Model,0.7993113568
0.8,Mean,MatchChar Model,0.800889
0.8,Higher Bound,MatchChar Model,0.8024666432
0.9,Lower Bound,MatchChar Model,0.9183086499
0.9,Mean,MatchChar Model,0.91843319
0.9,Higher Bound,MatchChar Model,0.9185577301
1.0,Lower Bound,MatchChar Model,0.9972212076
1.0,Mean,MatchChar Model,0.99818091
1.0,Higher Bound,MatchChar Model,0.9991406124
0.1,Lower Bound,All Models (MEM=6),0.09967309195
0.1,Mean,All Models (MEM=6),0.0996996
0.1,Higher Bound,All Models (MEM=6),0.09972610805
0.2,Lower Bound,All Models (MEM=6),0.1978911991
0.2,Mean,All Models (MEM=6),0.198843
0.2,Higher Bound,All Models (MEM=6),0.1997948009
0.3,Lower Bound,All Models (MEM=6),0.2997911342
0.3,Mean,All Models (MEM=6),0.29996548
0.3,Higher Bound,All Models (MEM=6),0.3001398258
0.4,Lower Bound,All Models (MEM=6),0.3994850346
0.4,Mean,All Models (MEM=6),0.39954789
0.4,Higher Bound,All Models (MEM=6),0.3996107454
0.5,Lower Bound,All Models (MEM=6),0.5002172364
0.5,Mean,All Models (MEM=6),0.50028238
0.5,Higher Bound,All Models (MEM=6),0.5003475236
0.6,Lower Bound,All Models (MEM=6),0.5992315705
0.6,Mean,All Models (MEM=6),0.60013955
0.6,Higher Bound,All Models (MEM=6),0.6010475295
0.7,Lower Bound,All Models (MEM=6),0.7024309269
0.7,Mean,All Models (MEM=6),0.70275713
0.7,Higher Bound,All Models (MEM=6),0.7030833331
0.8,Lower Bound,All Models (MEM=6),0.8155168003
0.8,Mean,All Models (MEM=6),0.81739702
0.8,Higher Bound,All Models (MEM=6),0.8192772397
0.9,Lower Bound,All Models (MEM=6),0.9395275204
0.9,Mean,All Models (MEM=6),0.93964346
0.9,Higher Bound,All Models (MEM=6),0.9397593996
1.0,Lower Bound,All Models (MEM=6),0.9942355005
1.0,Mean,All Models (MEM=6),0.99698986
1.0,Higher Bound,All Models (MEM=6),0.9997442195
0.1,Lower Bound,Default Predictors,0.05744068433
0.1,Mean,Default Predictors,0.05745618
0.1,Higher Bound,Default Predictors,0.05747167567
